id,app_package,app_name,user,comment,rating,likes,total_votes,date,version_code,from_developer,is_edited,scraped_at,sentiment_label,metadata
182223184,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,جواد,دوستان سواد ابتدایی کار کردن با یک اپلیکیشن بانکی رو ندارن بعد میان نظرات منفی می نویسد,5,19,54,۱۴۰۴/۰۴/۰۴,5016,False,False,2025-07-20T17:30:53.412628,negative,"{'input_tokens': 162, 'output_tokens': 1, 'total_tokens': 163, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535566', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182963408,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,زهرا,🎀دقت کنید چی میگم برنامه خوبه میلی رو نصب کنید عالیه زمان ثبت نام قسمت کد دعوت کد شبکه نسیم رو بزنید عالیه جایزه 590 تومنی میده همون لحظه قابل برداشت عالیه فقط حتما موقع ثبت نام مشخصات خودتون برای احراز هویت پایه درج کنید که جایزه بگیرید عالیه کد دعوتش milli-ljotl عالیه خط تیره وسطش کوچیکه هست,5,30,37,۱۴۰۴/۰۴/۲۶,5016,False,False,2025-07-20T17:30:53.412640,positive,"{'input_tokens': 233, 'output_tokens': 1, 'total_tokens': 234, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535586', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182011188,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,ابراهیم,آقا ازوقتی به روز رسانی شد دیگه وارد برنامه نمیشه به روز رسانی نکنید هزار بارپاک کردم ونصب کردم دیگه وارد نمیشه گند زدید به برنامه از آپ استفاده کنید بخدا بهترین برنامه آپ هست باهمه کارتها هم میخونه,1,16,18,۱۴۰۴/۰۴/۰۱,5016,False,False,2025-07-20T17:30:53.412643,negative,"{'input_tokens': 195, 'output_tokens': 1, 'total_tokens': 196, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535596', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182460094,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,همیشه تنها,با تشکر فراوان از همراه بانک تجارت خیلی عالیست همه کار میشه باهاش کرد من چند سالی هست که دیگه به عابر بانک نمی رم با همین نرم افزار تجارت هم کارت به کارت میکنم هم شارژ میخرم و هم اینترنت و هم قبوض پرداخت میکنم,5,7,13,۱۴۰۴/۰۴/۱۰,5016,False,False,2025-07-20T17:30:53.412645,positive,"{'input_tokens': 196, 'output_tokens': 1, 'total_tokens': 197, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535603', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182139499,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,حسن عرفان نژاد,بانک تجارت خیلی عالی کارمند بانک عالی,5,6,12,۱۴۰۴/۰۴/۰۳,5016,False,False,2025-07-20T17:30:53.412647,positive,"{'input_tokens': 144, 'output_tokens': 1, 'total_tokens': 145, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535610', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182459246,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,مرام,بدرد نمیخوره,1,6,11,۱۴۰۴/۰۴/۱۰,5016,False,False,2025-07-20T17:30:53.412649,negative,"{'input_tokens': 140, 'output_tokens': 1, 'total_tokens': 141, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535616', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182226467,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,iran cockatiels,درود عالی. متفاوت و تم قشنگ … من که راضی م اونایی م که بلد نیستن استفاده کنن وارد تنظیمات کارت بشید تیک انتقال رو فعال و کارت رو ثبت کنید داخل تنظیماتش باید بگردی چیزای جالبی داره تازه کارتخوان هم بهم میدن مجانی فردا ایشالا میرم بگیرم باتشکر پت شاپ عروس هلندی ایران رباط کریم,5,4,9,۱۴۰۴/۰۴/۰۴,5016,False,False,2025-07-20T17:30:53.412650,positive,"{'input_tokens': 225, 'output_tokens': 1, 'total_tokens': 226, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535625', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182698481,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,شهریار,گند زدید با این بروزرسانیتون، مزخرف مزخرف، میخوایی یه کارت به کارت کنی بعد که شماره کارت رو وارد کردی پایین گزینه بررسی کار نمیکنه,1,6,8,۱۴۰۴/۰۴/۱۷,5016,False,False,2025-07-20T17:30:53.412652,negative,"{'input_tokens': 177, 'output_tokens': 1, 'total_tokens': 178, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535632', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182464151,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,M. R,من همراه بانک تجارت را چند سالی دارم به جرات از بقیه بانکها خیلی بهتر، بعضیا که میگن بد، اول برو مقایسه کن با بقیه بعد بیا نظر بده,4,4,8,۱۴۰۴/۰۴/۱۰,5016,False,False,2025-07-20T17:30:53.412653,positive,"{'input_tokens': 179, 'output_tokens': 1, 'total_tokens': 180, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535637', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182415183,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,یگانه,قبلا خوب بود هم سابقه تراکنش هارو داشت هم قسط وام میشد پرداخت کرد الان هرکاری میکنم نمیشه چه وضعی اخه کاش بروز رسانی نمیکردم,2,4,7,۱۴۰۴/۰۴/۰۹,5016,False,True,2025-07-20T17:30:53.412655,negative,"{'input_tokens': 179, 'output_tokens': 1, 'total_tokens': 180, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535643', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182345890,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,علی,خیلی بده همش مشکل داره و فعال کردن رمز دوم امکان پذیر نیست,1,5,7,۱۴۰۴/۰۴/۰۷,5016,False,False,2025-07-20T17:30:56.294740,negative,"{'input_tokens': 151, 'output_tokens': 1, 'total_tokens': 152, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535647', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182132091,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,محمدرضا مطلب,چرا تراکنش ها رو نشون نمیده، آبدیت میکنیم بهتر بشه بد تر میشه,1,4,7,۱۴۰۴/۰۴/۰۳,5016,False,False,2025-07-20T17:30:56.294749,negative,"{'input_tokens': 159, 'output_tokens': 1, 'total_tokens': 160, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535653', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
181949485,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,saeid,واریز اقساط تسهیلات ابتدایی ترین چیزیه که تو هر همراه بانکی هست به جز تجارت,1,6,7,۱۴۰۴/۰۳/۳۱,5016,False,False,2025-07-20T17:30:56.294750,negative,"{'input_tokens': 159, 'output_tokens': 1, 'total_tokens': 160, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535658', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182458470,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,کاربر بی‌نام,بستن حساب هم بیارید توی اپلیکیشن,5,4,6,۱۴۰۴/۰۴/۱۰,5016,False,False,2025-07-20T17:30:56.294751,neutral,"{'input_tokens': 147, 'output_tokens': 1, 'total_tokens': 148, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535663', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
182616665,ir.tejaratbank.tata.mobile.android.tejarat,Tejarat Bank,Babak,اینکه هربار وارد برنامه میشی و خودش موجودی رو در لحظه نشون نمی ده خیلی بده. مثلا ده تا تراکنش کردی با کارتت و هنوز رو قسمت موجودی عدد قبلی نوشته شده و باید حتما مجدد روش بزنی تا آپدیت دستی بشه,3,4,5,۱۴۰۴/۰۴/۱۵,5016,False,False,2025-07-20T17:30:56.294753,negative,"{'input_tokens': 196, 'output_tokens': 1, 'total_tokens': 197, 'model': 'gpt-4.1-mini-2025-04-14', 'timestamp': '2025-07-21T01:04:47.535668', 'batch_id': 'batch_687d5fe210508190b74fd97c6b02754c'}"
